[254.18976659 318.31015989],[288.41137275 311.66634403],[311.25388472 287.14028272],[328.01199899 268.44476252],[345.61948986 254.36805374],[284.48386507 245.92417528],[295.82839089 213.12409155],[303.10940406 192.12138515],[307.69622013 174.14356628],[262.89396296 242.29141814],[264.44291995 205.48586469],[267.36807694 179.96230533],[267.71957721 158.69650916],[241.95457728 245.67057373],[236.7496589 213.3663674],[235.18417017 190.33035477],[232.45121501 170.88920642],[223.97484883 254.65919978],[212.53070691 232.63878747],[206.54240685 217.81178994],[200.48358285 203.44381702]
[254.41585454 318.44067314],[288.3523751  312.10275222],[310.64705609 286.28902524],[326.87035108 266.4286486 ],[344.23834422 251.9193069 ],[284.48963831 244.85865701],[296.98158248 212.52760703],[303.83606925 191.53115786],[307.61471385 173.9932856 ],[262.8683123  241.16893961],[263.76176116 204.46596931],[266.12407338 179.00124361],[265.98961941 157.97675566],[242.09442866 244.55385839],[236.63630514 211.76378372],[234.79214415 188.40728392],[232.19584441 168.74740528],[224.28930758 253.87445239],[211.7220462  231.87859718],[205.63437    217.93611451],[199.9372503  204.38307054]
[253.51444586 319.98058736],[286.57898821 311.8314762 ],[309.01923136 286.11567579],[325.68881769 266.41477623],[341.86131006 252.48655825],[284.16069014 243.87524783],[296.084622   210.93407617],[303.61430377 190.17183931],[308.57660684 172.85897275],[262.07058126 240.15697648],[263.29415729 203.24560416],[266.22091896 177.48796573],[267.0945034 157.0771301],[241.45550664 243.76744529],[235.7788776  210.66890376],[233.57598944 187.25291845],[231.57196918 168.19669873],[223.72191758 253.92819133],[211.79455484 231.79263617],[205.02442696 218.15198094],[199.3568965  205.24235145]
[251.38398583 319.18781205],[284.71762733 312.03495549],[308.0634554  287.32711397],[325.975939   268.23596378],[343.21380457 255.62207527],[282.74361255 244.54218216],[295.64777679 211.88669561],[303.35428858 190.59926861],[308.24849701 173.5028998 ],[260.76750883 240.42228521],[263.04114694 203.59712641],[265.89835533 178.00131356],[266.85177515 157.63623591],[240.92978521 243.16848681],[235.98760924 210.09758896],[233.76223933 186.99524219],[231.33264421 167.74361452],[223.54977242 252.02090697],[211.32477778 230.30023141],[204.08103802 216.76023002],[197.65279642 203.8936085 ]
[251.54505284 321.02459908],[285.16822288 314.03118208],[308.36371131 288.57952095],[325.34374525 268.58254732],[342.36197708 255.11199725],[281.73544745 245.84823291],[294.36997016 213.17314973],[301.54589813 191.60189113],[306.05175852 173.31032443],[259.77257034 241.34743021],[262.52805985 204.38554655],[265.72925637 178.32859355],[266.53356387 157.3410045 ],[239.34010131 244.11406198],[234.21624102 210.86959655],[231.94306996 187.07326227],[228.96119706 167.20477962],[221.62158062 253.75047842],[209.61564515 231.98064998],[202.57147662 217.76977037],[196.0796246  203.93600761]
[249.67160009 319.14743377],[282.56183428 314.28347359],[306.41443546 289.84283173],[324.06599354 271.053601  ],[342.66518194 257.17627985],[279.90494636 246.12720813],[292.06522554 214.01087505],[299.56956501 192.77424475],[304.13913328 175.28232753],[258.15349079 242.35885593],[259.50812161 204.92707505],[262.14771595 178.71623569],[262.27395836 157.57825716],[237.21884845 245.64917338],[230.94838943 212.05744947],[228.37096608 188.59592221],[224.40896244 169.17280327],[219.02936328 254.72691427],[206.48594509 232.10365303],[199.19030785 218.2009527 ],[191.9126513  205.08782463]
[244.89466348 321.96719585],[278.4853838  317.39366049],[302.36104498 293.44509914],[319.28172551 275.05428002],[339.80510838 261.16066116],[276.60417781 247.85800092],[287.38272701 214.48130999],[294.9864582 193.2431101],[300.29420955 176.03219893],[254.25002145 244.95644421],[255.52174463 206.24720397],[258.19312996 180.64286547],[258.66682523 159.24090981],[232.60306722 248.62661431],[226.63415367 214.1091041 ],[224.23111011 190.14180444],[220.45976471 170.13484854],[213.8388662  257.90162515],[201.88618897 234.70995994],[195.2799212  219.79857202],[188.32442829 205.76243864]
[239.71804805 324.20372126],[272.78207349 318.98533776],[297.53315936 294.89341576],[316.82828524 276.67217309],[338.33515346 263.85882026],[272.76554706 250.57020933],[286.52957671 217.14781904],[294.43783583 196.26928328],[299.50208513 178.81504164],[249.5704502  246.42305249],[253.16381333 208.61172248],[255.90645946 183.22646967],[256.06676204 161.91363131],[228.46782509 248.7552946 ],[224.32042603 215.37984304],[222.06896802 191.37928346],[219.06630479 170.78901424],[210.189136   257.17329857],[198.39120359 234.86198913],[191.33547544 220.78950281],[184.71376859 206.73913914]
[227.74372649 326.18346084],[260.20448504 320.23565352],[284.0417498  295.53480767],[302.85198989 278.18497616],[324.22057216 266.00040913],[263.66071227 251.92737907],[276.53367115 219.39392527],[284.36382719 198.44573824],[289.45612444 180.96561416],[240.77088868 247.42854677],[243.0786351  209.67273235],[246.96571525 183.99650306],[248.89512666 162.86192822],[218.93228505 250.05841043],[214.60406242 214.91792149],[213.25340888 190.992951  ],[211.28549925 171.4601312 ],[199.49883673 259.02535602],[188.30772102 235.6200248 ],[181.34061773 221.48732859],[174.89140416 208.05235474]
[200.80715    320.21550419],[234.67684458 311.56195467],[256.78421655 286.50972035],[272.21895336 266.72240006],[290.64899301 252.5037333 ],[233.55592532 244.51844061],[244.18957607 213.54348413],[251.16945022 192.81749136],[255.36056058 175.3451685 ],[210.33478111 241.40455099],[210.44255388 204.19901117],[212.11253573 179.10230206],[211.94744083 157.77402934],[187.98376934 244.85906004],[179.73771925 213.30935792],[174.85713491 190.57551476],[169.97204205 171.33922786],[170.00102991 254.74392281],[158.18667258 232.48368747],[151.63671189 220.15951453],[145.38876384 208.66282919]
[176.86383238 321.94386617],[210.48098014 310.02112374],[227.42833578 281.16211771],[234.59792807 258.37895445],[245.36147274 238.35285175],[205.20184554 242.87072087],[209.39073688 209.10327377],[210.87287739 187.68973812],[211.05447952 170.6494038 ],[183.76726576 243.3179543 ],[182.77662103 205.9413155 ],[182.92029919 181.00625549],[183.11022931 158.93208028],[162.81760205 248.17469378],[158.52749284 215.81782285],[156.26598817 192.19175705],[155.04253141 171.7753107 ],[144.31821601 257.30396727],[136.39010545 234.41874595],[132.32382922 218.75314137],[128.75912646 203.28423111]
[153.64834186 319.07050746],[184.11385746 304.37485978],[198.7982879  279.22899507],[207.80502265 260.38608081],[217.99387077 238.59468502],[177.76797604 238.70811688],[176.44127098 207.86617814],[174.04020146 186.23351216],[171.77338589 169.42727149],[158.46293806 239.25670143],[156.34087476 204.57047596],[154.08147595 181.83773457],[152.81870007 159.93668847],[140.14213778 244.81960508],[138.63052031 215.09674916],[137.9126931  192.98170734],[137.39690608 172.03735398],[123.28139952 254.55450978],[118.76580478 232.9393826 ],[117.23496067 216.9858885 ],[116.97736206 200.24723147]
