[281.51518656 401.06510911],[314.67126675 397.42489819],[336.72523699 371.80915931],[331.15435075 344.61764408],[312.02731023 335.0144927 ],[338.98298481 322.01210737],[363.60101112 299.7546236 ],[381.67490789 280.10792586],[398.81577773 261.11556553],[313.36748014 309.95369087],[324.33763636 270.91992188],[334.59848353 242.83860454],[341.20054654 217.13356165],[286.83102354 310.63611251],[290.20239415 276.21738277],[295.46301595 247.66357051],[299.16391976 221.82132922],[259.25670966 321.33103014],[252.17266245 288.51848551],[246.43082881 270.62695633],[239.44960783 254.09025224]
[280.97301664 401.46484412],[313.80734183 397.48054688],[334.18707941 373.73068451],[328.83462956 348.15047326],[311.83984224 338.740324  ],[336.98181192 322.59277572],[362.43316933 300.11644447],[381.13379827 280.69605578],[398.18923259 262.10265584],[311.5704843 310.5574184],[324.22991376 270.51653646],[335.20828671 242.93424056],[341.09167586 217.85835043],[285.10754136 311.40286798],[288.17771401 276.21009518],[292.73595458 247.84037475],[294.9410116  222.84887372],[258.25494401 322.3786988 ],[251.61256184 289.91247978],[245.28391356 272.99384991],[236.59835729 257.89601983]
[274.41360016 405.18796528],[307.40131767 401.60293487],[331.0427926 379.8649711],[328.65152796 351.96885474],[310.27957702 340.9710472 ],[337.11206802 324.85405102],[361.56001528 303.39334353],[378.35627755 280.8658141 ],[394.72007447 259.16784401],[311.61641115 311.81138067],[324.62625248 272.50712117],[334.5687297  245.23070092],[341.39984896 221.64258051],[285.34656167 310.9631144 ],[290.12402789 276.83704761],[294.32424147 249.20162596],[297.58683367 226.01239717],[258.62687522 320.09516305],[251.27269422 289.19786348],[244.81328805 270.56707526],[239.20891504 253.72960971]
[274.16300583 405.91976388],[309.36640785 401.03427787],[330.27074742 377.92807473],[326.42479899 349.96921733],[306.76997534 337.89242989],[336.37939703 326.64373515],[361.568874   304.19517238],[377.98267527 281.87242795],[394.18430518 260.50547957],[310.34169537 314.42197287],[322.14222119 274.68426805],[331.12147897 246.95974137],[338.14458928 222.76140085],[283.67564747 314.22224916],[287.14360815 279.00997171],[290.49946742 250.79740322],[293.82047374 227.23377425],[257.13481638 323.06574851],[249.7176531 290.2468111],[243.26561697 271.81314561],[237.84095519 255.94315305]
[273.8276847  406.18619879],[307.52747001 402.92835314],[330.03413432 380.2908141 ],[325.16153167 351.53772293],[305.12183851 338.99152135],[335.33299017 325.02147724],[359.52975703 303.61624942],[375.88022111 283.33960924],[392.1495431 263.5251464],[310.18122074 311.50772825],[324.10739142 273.56186822],[333.8501935  246.22858831],[340.34686    221.16235985],[283.17654217 311.39216986],[288.26569651 280.20466889],[290.89051397 251.38507615],[293.05676973 224.93175992],[255.18176006 322.04303191],[249.32826531 292.18486591],[242.40304181 273.9694937 ],[235.8204169  256.80308416]
[269.82555009 408.24530602],[304.06016237 404.33825999],[325.96712087 379.05048219],[319.94022125 348.62993706],[298.37916728 336.23319728],[333.08569737 326.23768131],[355.93460171 305.3896564 ],[373.46043447 285.44244446],[390.77391674 266.92920634],[307.53111099 313.79289624],[319.58305548 274.39848918],[327.43820526 246.60094118],[333.04420979 221.11109915],[279.95646917 313.62204009],[283.80117606 280.83027498],[285.81905696 252.34910311],[288.04694868 226.58679551],[252.20029389 323.29029883],[246.02598148 292.38829505],[239.2428406  274.32508271],[233.27781064 256.26063246]
[261.60360808 409.34888227],[300.040673   405.18128003],[319.86161177 381.68984346],[313.65201233 351.45158816],[295.28811905 336.10356333],[324.90593735 328.19270515],[350.45764302 306.09723676],[368.15467158 287.35435805],[384.37208688 271.83986656],[298.33003756 314.83922349],[310.23561128 277.7497473 ],[318.89071289 250.63129196],[325.15324464 226.412885  ],[270.99115873 314.86104506],[273.69051497 283.24881296],[276.2952756  255.58264532],[278.73483708 232.69882501],[243.73698796 326.46218919],[234.98313681 294.51162977],[229.29944554 274.71058493],[224.49209039 256.87620659]
[255.17591314 426.94770331],[298.64868162 416.16467544],[318.10512757 384.84662579],[313.27853736 357.68127109],[297.86577285 342.61292392],[319.65203313 334.55905531],[351.58019253 301.46174894],[369.06742765 278.895771  ],[385.43324854 258.39837023],[290.24164233 326.30789268],[305.98091906 275.93339218],[316.72072821 242.59246942],[325.68619865 213.2027926 ],[262.23490932 327.11252035],[266.73202837 282.14087042],[272.35819675 251.69232773],[279.29724653 226.62627316],[236.53280054 337.84612618],[226.73363182 299.808031  ],[221.95616892 277.85060309],[218.29811094 258.05256762]
[253.066893   425.32799113],[294.79284361 413.42902316],[316.68177894 379.72104906],[308.59108017 348.65299201],[289.0074941  332.33953555],[319.40595688 329.47384607],[343.59957139 302.03984081],[360.51027828 279.84343919],[376.28188593 259.01124474],[288.5860711  320.41202339],[302.55383922 277.49164861],[313.33795963 246.28199506],[319.25739054 217.76063517],[259.58070542 321.73628228],[263.8924705  286.06327762],[267.914307   256.33764683],[272.06167069 230.15273892],[232.25599056 332.59754838],[224.60524082 302.06810999],[217.80576334 282.42858326],[211.34791657 262.91393755]
[245.64102292 417.74967616],[290.30490584 413.80124315],[311.31932747 386.74244832],[312.60676542 357.92647705],[308.0255736  341.02114334],[305.42137265 338.67184254],[336.37266288 309.56066165],[354.5819278  286.57940104],[369.64783781 265.64242098],[276.72784455 327.78381088],[291.99517138 280.15192338],[303.5379071  244.81204847],[311.7199363  214.67558223],[248.92030643 326.2195254 ],[251.80553082 283.14656885],[257.74700414 248.9443981 ],[264.58342828 220.37259664],[225.0482774  335.13396022],[210.96043695 296.91551944],[202.54402521 271.6263301 ],[196.85858519 247.25543667]
[244.22914178 420.11166082],[287.96276837 414.90595702],[313.51572397 388.00917633],[317.76059882 360.22891751],[310.84006896 345.83929045],[305.04697082 336.46482301],[332.96012322 306.33431077],[349.94034231 280.72254666],[366.21713505 256.799379  ],[275.99257797 327.19685369],[291.33824491 274.99241365],[302.24395245 237.05425291],[310.68447352 204.68705578],[247.50073457 326.98131175],[250.59364654 278.43109361],[256.03170683 244.4281234 ],[263.87042517 215.25125475],[221.94950356 336.49831529],[210.15843346 297.97977199],[202.41636713 273.88238727],[198.81674522 249.49869082]
[241.04150254 420.01465931],[287.27285298 410.15526466],[312.27736523 375.96552257],[312.13662809 345.88566076],[304.1006866  330.91288593],[307.16880192 325.67846179],[333.31204548 292.99010419],[352.64156202 266.52882714],[370.33813531 243.84759789],[277.76168158 319.19459432],[291.14598099 269.9938687 ],[301.73642386 233.10927009],[308.95401192 200.94965619],[249.6821247  322.23509323],[252.0893176  277.63401231],[255.76260956 242.19571166],[260.47993776 214.95853161],[223.91064974 333.8290358 ],[214.68297532 297.49146926],[209.4145742  274.01210348],[206.09023382 252.70056835]
[237.47382143 415.26304804],[286.43565102 410.06998443],[311.86713356 379.52427419],[309.91784827 354.58513354],[297.16599444 342.60943998],[306.51648267 321.14686452],[330.50826651 288.72350328],[349.20881609 259.2068809 ],[369.96536022 232.16305636],[277.37709936 313.78057622],[287.66627689 263.75840786],[299.16522356 222.65282679],[307.30521264 186.30030626],[249.28317568 317.08179392],[248.71038427 269.74106978],[253.12261287 230.1821134 ],[257.16484148 197.52152415],[224.08847231 330.30836571],[216.51924273 291.30545272],[212.17375585 268.71229103],[208.05587404 247.22248359]
[236.32055887 419.41530154],[286.09947896 404.68519219],[311.25975677 366.42137936],[305.46466508 331.69458373],[285.20121279 310.49676126],[310.27297543 316.95331353],[335.99068586 283.10529435],[352.09022774 254.36481465],[369.31098773 227.18757545],[278.65408661 309.47664827],[294.21321539 258.52997274],[306.56161192 216.7611375 ],[314.68219429 179.66613097],[247.79901145 312.33380712],[253.41035331 264.52565397],[260.19398849 223.93204703],[265.63931163 190.74648709],[218.0720631  324.74116818],[216.84691128 283.37557953],[213.54934051 261.67392524],[209.32259618 242.62551201]
[240.02786793 415.38667712],[287.97965566 403.66980076],[315.13120138 370.39471233],[317.57595881 344.03193896],[302.84067202 327.16361281],[314.16942956 318.41201894],[339.87966957 280.80390133],[354.86923626 251.7017397 ],[369.37303564 227.29571328],[284.2651068  309.33910415],[302.37455469 256.37931748],[315.58627462 215.56214072],[325.8881798  181.02930331],[253.28928949 310.25042537],[262.03575289 261.07661909],[269.07367715 222.07393303],[274.75542039 190.13697246],[221.93932565 319.88504348],[217.74341238 279.23785537],[214.40214964 253.56021738],[212.40320755 229.90076604]
[235.80068008 409.39899678],[280.81724436 409.47593396],[312.02773918 380.39869238],[311.35530223 355.70416473],[296.46649444 343.00520889],[312.89267986 313.25329263],[338.67396047 275.63603542],[354.10107537 245.81660525],[370.09630705 218.06989935],[283.41806556 302.1123553 ],[299.13221787 250.19862933],[311.62195797 213.7147773 ],[319.45658004 181.02070802],[252.61196102 303.27209459],[256.33790103 254.41342074],[263.09915709 217.20444238],[268.30273248 185.24872488],[221.54925554 314.81955791],[214.24542721 273.52802209],[210.29336601 247.80926163],[208.08170343 222.55430354]
[226.75296386 408.55423859],[282.82185482 403.70417741],[314.69667376 375.78339231],[320.42572189 348.22079023],[314.15129402 327.79853012],[313.21639658 330.48893645],[342.56397544 288.00980046],[359.10843949 254.02656544],[375.95552723 225.79400306],[278.42339271 312.21317673],[302.87085877 247.08057059],[317.77465714 199.19006283],[330.51469028 162.82488812],[241.01232668 303.38631023],[255.85477371 246.23927796],[264.59274358 200.16586689],[270.54944924 162.03577255],[204.32938369 301.82183505],[205.82572167 252.33351556],[207.85116539 221.22948785],[210.05588663 194.74160755]
[219.81584914 416.47725809],[275.212447   409.04006224],[305.82507934 376.73930089],[304.86254958 347.02437883],[291.24384231 323.03145941],[308.30999105 331.75871651],[336.43732752 284.29583771],[351.38308059 248.60783927],[367.91053955 217.3284987 ],[273.45504477 315.92154472],[296.88521079 243.95590827],[311.69360011 194.23083288],[324.39759633 156.64099626],[236.29868164 307.91479402],[251.11106619 243.61345608],[260.95903638 195.98546144],[266.58437796 157.78863953],[201.0776022  308.40282233],[201.89029607 253.17704249],[204.5103326  222.31381248],[205.75277456 197.05290593]
[225.51917753 410.39216946],[274.14959719 401.0987564 ],[299.64717288 371.74371258],[301.53049672 342.41772458],[290.15850133 322.0706209 ],[305.00062735 315.94735652],[329.85470236 277.66641883],[343.91110848 251.28164118],[359.55178553 228.40402811],[273.41240956 302.73100682],[291.88937146 245.7837202 ],[303.94999065 205.59671019],[314.59453014 169.76078748],[239.39107149 300.75869778],[244.71542914 247.7759034 ],[248.67183092 208.21918192],[253.90347428 174.75962251],[206.33129505 306.94141205],[202.19140751 264.14648685],[196.62818008 241.3192149 ],[192.85412438 220.69726489]
[219.97173771 409.42825577],[259.99353339 407.1921669 ],[287.75541289 382.60328323],[288.39124762 355.47046801],[279.55531981 339.0777624 ],[299.45066749 321.14104041],[328.68583525 280.34809642],[342.14842417 249.52307458],[356.66731585 222.91608764],[267.6587675  306.44221253],[287.49900052 244.32548368],[300.01747215 203.51865901],[308.86863503 170.37248659],[233.17151196 304.16348389],[238.68923917 245.71432734],[244.12483607 204.93979706],[248.78290785 172.06012094],[197.98881714 311.55003629],[192.29565663 264.9092023 ],[188.64414146 240.68319336],[184.84660346 218.95227487]
[219.39769702 407.07748303],[262.7359164 403.043925 ],[288.9920289  375.93768503],[287.0447675  352.99517657],[274.8787758 339.7298773],[295.93638559 314.64465924],[321.6259119  274.20661576],[336.16921928 245.07915718],[351.75660238 220.63004568],[265.26385701 303.07429664],[280.79892458 242.03473475],[288.92214463 200.54230392],[298.96227884 162.61379015],[230.97319231 301.51591116],[235.49708499 244.19814028],[239.21272562 204.39457408],[245.57383358 172.4076747 ],[198.27106915 308.32821808],[196.37472337 261.85405243],[193.75061199 242.47349617],[192.00140776 228.29631637]
