[236.24495659 335.59805582],[276.62209136 330.40352516],[302.51587073 307.51080323],[323.67176811 284.17389479],[338.06193452 266.04467396],[278.53604759 261.25967904],[306.67623166 238.34699648],[326.53681285 234.00319012],[340.94552584 231.55569184],[259.02436071 248.29329446],[268.44714005 211.757203  ],[280.94605481 182.237754  ],[295.0695292 157.7094007],[238.53375506 244.68972287],[229.90293956 210.38455797],[229.50409959 181.14992842],[234.5323686  156.74478233],[222.03681298 251.77001954],[209.92676212 220.85905352],[205.56801542 196.35722069],[203.85742192 173.13993763]
[235.94801724 335.4882992 ],[275.3248845  330.40942629],[302.09716633 307.57453625],[323.99423106 282.79317888],[338.02470857 263.31792571],[278.03839434 262.53179811],[305.21316952 237.62529657],[323.94860701 232.13722617],[337.80849957 227.82179376],[257.83006949 248.44361539],[268.37076897 212.26846342],[281.83508866 183.41453587],[296.42810447 158.25123034],[236.94464944 244.18400268],[228.77916072 210.41444202],[230.0569855  182.43526975],[236.15626962 157.83101672],[220.01533445 250.26203225],[208.4509833  219.13192919],[205.31711631 195.58746428],[204.33284513 173.23368962]
[236.42557857 336.64921879],[275.75341531 331.16195493],[301.50740638 308.58584351],[322.22306007 284.54454497],[335.64693711 265.36078323],[278.25464387 260.76948148],[306.49771945 236.45364779],[324.70948901 234.29202209],[337.55261482 234.25498966],[258.23217199 247.3581196 ],[269.34077449 210.32060696],[282.24904898 180.91331553],[296.23787517 155.51844863],[237.21507886 243.7797725 ],[229.66509166 209.25311301],[230.11962987 179.902374  ],[235.37024551 154.58301244],[219.58085582 250.59488983],[207.60196863 219.81982914],[203.29455301 195.98488032],[201.5800018  172.87519665]
[234.6451194  338.03016536],[275.07937884 332.57780944],[303.06550176 311.35197339],[324.24292914 286.38642641],[337.25713759 266.42865846],[278.44539531 260.62746762],[305.17529623 236.66928965],[323.32102301 233.11376175],[335.70084084 231.61534576],[257.87214603 246.40695437],[269.70454069 210.64661194],[283.91810075 181.58412723],[298.45472487 156.54733503],[236.23930007 242.57789264],[229.33561078 207.98190326],[230.45243059 178.98645797],[235.39332867 153.58087538],[217.96925701 249.58791684],[206.49709133 217.91330981],[202.35236414 193.69508458],[200.83963881 170.14205187]
[234.47078554 333.67356852],[272.02584063 329.50614125],[297.96812103 308.85003472],[321.05039647 285.9357362 ],[336.81573447 265.42030678],[277.93134798 260.9529089 ],[303.84251499 236.21753832],[322.2140796  231.34045327],[335.09898271 228.65431009],[257.99132406 246.74296889],[267.79317341 210.01016334],[280.40573412 183.64153704],[294.28209255 159.26650319],[236.51162969 242.2309788 ],[227.1814149  206.52755747],[227.07654321 179.6211902 ],[231.71905236 155.8032505 ],[219.28035688 248.19205045],[205.68777596 216.98615963],[201.44194419 194.96556237],[199.89039826 173.36094575]
[234.4019941  337.70285292],[272.49840621 331.16533336],[298.74200656 308.06843362],[320.01395013 281.68760166],[334.23988525 262.76434932],[275.16795213 261.57105123],[303.30237901 237.65032251],[321.76729955 234.03444114],[334.74991686 232.37553278],[255.29100296 247.3101154 ],[263.99044048 212.05644469],[276.53108256 183.6313887 ],[290.21454439 159.24963919],[234.73494116 243.2339842 ],[225.08357466 209.46823773],[225.43676944 181.93029832],[230.65638617 158.18393694],[218.0214181 249.5845396],[205.30249228 218.26140935],[202.77157281 196.37730198],[202.32559534 176.13703361]
[233.03748332 337.00375603],[270.41837858 331.92945703],[296.66455145 310.9215594 ],[321.05244621 287.04881282],[338.47134052 270.97711559],[273.70562503 262.13378521],[299.86678265 235.79037033],[319.53484765 226.83495531],[334.42868854 219.51872137],[252.62482956 249.2643148 ],[259.20806878 213.6255903 ],[272.02914752 184.15619453],[284.65581189 158.41625659],[231.53473497 245.91087311],[218.56442959 211.21778072],[218.3838848  182.80022817],[222.60036495 158.12148349],[214.97567272 252.64302549],[201.62579549 221.23570541],[200.30296285 198.91955396],[200.92202477 177.37809049]
[230.89298988 347.69485378],[266.8484051  335.78359938],[293.4845295  313.85289796],[317.86836498 289.28748662],[334.49434728 274.68259137],[271.76087826 265.95836236],[297.35455527 239.53689908],[315.73895439 228.6809187 ],[327.71929146 222.62960756],[250.7517773  255.46998781],[256.69830868 216.63869114],[267.05109363 182.51718654],[275.94479885 153.6267802 ],[229.51865759 255.61085414],[219.79519433 219.01904879],[218.14272658 186.14515913],[218.40765143 158.90430976],[211.75885685 264.87120601],[199.21560071 235.06030256],[193.85855077 210.8987453 ],[189.00356331 188.85907047]
[224.9585692  346.47746611],[260.43087558 335.75539142],[289.14676949 311.99580565],[311.4801403  287.28519286],[324.83704783 274.91405725],[263.36414904 263.12480856],[291.66859643 237.03752566],[310.69583286 229.09629674],[321.46642144 225.15186147],[242.8583856  252.88192855],[249.8446306  212.60363407],[259.28978663 179.09621597],[268.31463952 151.24063498],[222.70810634 253.06362824],[215.58926662 216.86057775],[213.48014931 185.23094255],[214.08128171 158.50319466],[205.07237497 263.95122815],[191.80250603 233.21201239],[185.45643129 211.04800478],[180.33062134 190.98955568]
[221.95219567 344.18448902],[259.51775495 334.12292124],[287.28366267 311.34699553],[311.77391927 287.32415517],[327.06084576 273.70346307],[262.28114741 263.7904378 ],[289.03587985 236.67807058],[308.26924881 228.0661803 ],[319.701054   224.53129961],[242.12187876 252.85776173],[247.40653944 212.69181539],[257.34728926 178.73588956],[266.14137267 150.70882517],[221.6854458  252.66459829],[213.3214216  216.63448305],[211.84508188 184.22157593],[212.41809348 157.06481845],[204.00137977 263.38118063],[191.49091798 233.0342414 ],[185.08762805 210.13338252],[180.13214311 188.87316817]
[221.56051371 338.58828879],[257.26475416 331.29589894],[286.05547361 308.08405938],[310.06793502 284.57139508],[323.99563491 272.71759986],[258.24317627 261.01239754],[287.21348228 233.24016353],[305.88544322 224.84611538],[316.65958813 220.9156809 ],[238.67985656 249.62971812],[245.44206457 211.00427035],[255.40078567 177.38420509],[263.87758751 149.26095723],[219.56091295 249.08286683],[211.55045784 213.77855993],[210.63881557 182.96081613],[211.69335049 156.638784  ],[203.67798792 259.43660554],[190.9282558  229.38963226],[185.65820768 206.82094336],[181.16789702 186.16488302]
