[246.46216161 378.38837195],[282.88343639 375.98965776],[294.1644798  356.33362228],[284.11265174 332.71018808],[265.61581904 313.5296402 ],[301.41553403 309.91119127],[311.46674603 275.1756628 ],[318.85139466 251.21425809],[325.06966074 233.51516116],[278.97231823 308.15897135],[277.32627338 302.75588066],[273.11717105 330.72846581],[274.51312469 340.79917468],[253.95006267 312.50698432],[253.04608115 311.37161669],[250.41861459 335.44773505],[252.12600591 344.15979917],[229.87218401 317.07924216],[231.00890682 314.75957441],[231.82782887 330.31001427],[234.28706132 338.55408001]
[249.64284411 379.37569529],[287.16543006 375.46079939],[296.25682769 355.42661581],[286.06014177 331.28981049],[265.53851833 312.44074592],[302.66949416 310.51926965],[311.73098934 275.83843533],[318.35710032 251.59000331],[323.5437684  234.17285991],[280.11590914 308.49213751],[278.0801856  305.15622501],[273.97804654 333.3988673 ],[275.27097619 345.04717792],[255.00134904 313.48095297],[255.36823662 312.91621472],[251.96166987 336.4587871 ],[252.96311727 345.20825236],[231.49416034 318.70808286],[234.03044047 317.72739012],[234.59658299 333.26656598],[236.41995352 340.26480614]
[247.82984263 378.79699766],[284.83526173 377.7280657 ],[294.36423906 356.98944347],[283.06919363 332.80611543],[265.58574648 312.68012939],[302.71795403 309.57840359],[310.78336723 274.26104138],[318.08736624 249.86407857],[323.91249753 231.93871194],[279.61661856 307.04836156],[277.72678654 307.16894524],[273.70050735 336.67877842],[275.99578229 346.00515985],[253.61357347 310.95011231],[252.72435445 313.74921452],[250.31844639 337.60384379],[252.30383606 344.32273616],[228.66191151 315.04929502],[231.8953026 317.1840883],[234.37373271 333.37095929],[237.95457406 339.82789848]
[246.31117025 380.57859917],[284.34584616 377.79250242],[294.68464012 355.45655422],[283.61164064 330.0406013 ],[264.90553698 311.13116605],[300.85798245 309.34001413],[309.01290488 274.72101094],[316.14198189 249.92400454],[322.34811685 230.54766343],[278.39504991 307.54796497],[275.92931024 305.91550499],[272.46201276 335.34966166],[276.01986346 345.58403014],[252.8144219 311.3874913],[251.98858289 312.10573044],[249.69920932 336.17718708],[252.1416976  344.22391322],[227.73831687 315.18882256],[230.97052976 316.52582955],[232.84996359 333.16214069],[235.92400567 340.33991179]
[243.05778376 380.59729382],[279.57169837 378.02064674],[290.64509379 355.11558125],[279.21538451 329.40224794],[259.5567793  312.37820471],[298.44222354 310.28671745],[308.62080629 275.15220277],[316.77574032 250.30863877],[322.09649791 228.84729985],[276.38115655 307.77072258],[272.22046596 303.00332541],[269.11066194 331.04269139],[271.0325778  341.39715052],[251.67935389 310.70935076],[248.77705588 307.84417   ],[247.15220941 331.48381497],[249.28450489 340.34492714],[227.99865526 313.54931568],[229.65903638 312.26971691],[231.46075261 329.85809839],[232.83932952 337.93547715]
[241.95721734 378.32568   ],[280.47006541 375.05875538],[292.08506408 352.81450753],[281.22286224 326.76929455],[262.59585054 308.0167149 ],[296.64835486 307.44595977],[304.25030641 272.83617757],[311.98555888 248.77752749],[317.657965   229.97765529],[273.57146119 304.56257852],[272.43096811 302.18492126],[269.75973262 330.90508968],[270.47635684 341.1874782 ],[247.42155605 307.82631413],[248.58638765 308.86520364],[247.06082947 333.14489243],[247.7041656  340.31622223],[222.9068395  311.98748092],[228.55187558 314.5591395 ],[231.18039031 331.75430227],[232.32187506 338.10766611]
[239.22739859 377.93446512],[277.26385171 374.09657063],[285.06803017 352.12889594],[271.5617361  329.06237088],[248.01057765 313.91817796],[290.2754663  310.15522929],[298.95939002 275.95536876],[304.13526755 249.99086994],[307.63368206 228.18488088],[265.73561321 307.13895025],[263.04646237 305.70158026],[257.99613213 333.8660371 ],[259.86996859 341.50718669],[239.18486495 311.38911236],[240.43131777 310.41541756],[238.5650444  333.55021108],[240.87777971 341.03042808],[214.57399584 316.11625572],[216.7617767  315.98386907],[219.21285301 333.51426034],[222.13770749 342.15148543]
[232.21658954 383.0892352 ],[272.22088475 376.54991177],[280.72400386 356.84206071],[270.82771786 333.37844933],[253.13839598 313.48902557],[281.91432708 308.70894324],[291.28961855 275.18430733],[298.78967868 250.41730022],[302.87690484 232.30271835],[258.78710502 307.25924861],[260.69045319 300.31532955],[258.15105158 325.62554379],[255.32371964 334.53104401],[233.43640596 311.99922471],[237.64013036 308.25420652],[237.2787917  332.20742464],[235.71673126 341.46270257],[210.08943609 315.81724752],[214.50541378 314.97481616],[217.60333398 331.81836361],[217.97219765 340.84818049]
[225.983439   372.72230394],[263.62667424 369.382685  ],[271.85805263 349.09383777],[265.25398662 327.24917069],[250.07724197 308.54855801],[275.41782423 303.0859832 ],[284.03227673 268.49353884],[290.15114231 243.96760024],[294.6272962  226.67169715],[251.08603407 301.85230463],[250.9676884  295.53553376],[247.41746324 319.91084312],[246.61867948 329.60883726],[226.06719836 308.01288389],[227.69865629 303.32361601],[225.73915292 327.42940324],[225.50622138 338.08996537],[202.82102039 313.29998177],[205.06529692 310.55855526],[205.7818434  327.34306699],[205.80370445 337.60983271]
[224.46693904 365.78673713],[257.24841851 361.66379824],[265.39503038 341.03654929],[260.76088873 320.75241367],[248.03144223 302.66955081],[269.84298906 297.85827923],[279.94597591 262.12273419],[285.54635089 237.30830222],[289.14166369 220.56235864],[246.21389006 295.68783801],[243.28353892 286.37669951],[241.1223426  312.03372058],[241.23105013 322.27589998],[223.63282518 300.92871496],[221.53547954 295.7422698 ],[220.45975311 320.95058653],[222.09713878 332.48942529],[202.40507377 305.26362901],[201.9627128  303.00801959],[202.97347929 321.40038026],[203.73386586 331.60419178]
[228.88547545 354.73013304],[266.07326487 350.69284648],[275.1965852  327.46636912],[263.96021969 303.67392513],[248.01411954 282.02141399],[281.24229983 279.00278667],[290.85567167 243.90238463],[295.79261266 218.29143343],[297.89361457 200.604068  ],[255.6894817  276.75086501],[258.45305166 270.9553921 ],[256.07511051 299.27304537],[253.88402302 309.02163136],[231.52862085 282.39956965],[233.45209637 283.1802827 ],[235.03772847 310.85231638],[234.75748244 319.62921731],[207.47003331 287.83255386],[208.77287666 291.03423089],[211.24946627 311.81768183],[209.31529721 320.48931122]
