[271.47813946 365.71398752],[308.88148984 348.61427143],[312.80307777 325.39998193],[304.46010668 305.18657914],[291.10669805 283.56650023],[326.1189805  293.60286246],[348.75213198 254.91769903],[364.99189828 231.46462072],[377.71386174 218.62595253],[300.4104968  288.95345262],[305.80770097 258.15655918],[302.81545161 269.42413797],[300.31648471 286.88188923],[273.06157017 289.0714625 ],[277.73984271 259.34619726],[278.14008021 272.21249222],[279.76947614 290.10276349],[249.7979893 291.1428502],[241.86501907 261.20176497],[233.91238987 241.827192  ],[227.7855201  226.94884222]
[266.39937161 364.64863623],[303.20811781 348.10018912],[306.96434551 322.00070814],[298.38090657 299.45465139],[284.40316226 278.29256618],[320.11980297 292.50923782],[345.42790471 254.87850091],[363.49970564 232.19271097],[376.78177742 218.33688978],[295.31799305 287.15251568],[303.23233787 256.85667383],[300.6501698  268.05704522],[299.36453101 283.27842818],[267.55940217 286.9307119 ],[275.24563276 255.49225372],[276.2652132  268.75137507],[279.66515565 286.31941574],[244.17340861 289.69487213],[236.10366336 259.24974878],[227.61380539 242.63158142],[221.80584556 229.36966476]
[265.60466716 363.99841428],[300.816856   347.11937033],[304.38787546 323.11263808],[295.8291924  301.80165529],[283.08514922 281.57164648],[320.62602856 290.65882818],[343.12228648 251.14540644],[359.12596149 227.54494869],[371.32377565 213.17267372],[294.36278657 284.91028251],[297.33551101 256.91161805],[293.22859161 270.86375392],[290.27156684 287.56976282],[265.51932402 285.13631453],[269.09834024 255.87691526],[267.15721882 271.12937673],[268.22617758 289.55494875],[240.71209892 286.95239957],[233.02866943 256.97108115],[224.52723798 239.00740185],[218.24796714 223.97843168]
[261.2260933  362.96250758],[301.25708564 346.06637868],[301.6083109  316.82279164],[291.90291503 291.4093366 ],[279.7086338  271.57432108],[312.29094466 291.60327681],[336.87794541 253.71240794],[353.66091304 228.45359643],[366.48185227 210.55229912],[286.65484976 286.72047943],[295.03309248 256.79210713],[291.79461748 269.64476533],[289.89607632 287.50373906],[258.22630225 285.88336094],[267.65281393 254.11322532],[268.67483252 266.50086423],[271.49387615 283.67403893],[234.8592966  288.38995634],[229.11657126 255.93529091],[222.84861855 235.7422879 ],[218.26771921 219.9867823 ]
[259.33875833 362.75176409],[299.41225047 339.4409977 ],[299.99055942 311.95588233],[291.32922547 287.37534637],[277.75948827 267.52942563],[310.04288885 287.31395229],[331.72980081 247.93591188],[347.72637274 223.45730466],[358.69128052 208.37022571],[283.78630068 283.04838502],[286.48805233 254.30556272],[286.69493156 271.19130825],[286.49785867 289.98822553],[255.5687315  284.23893367],[259.69890979 253.13608389],[261.31366581 266.07650821],[263.51676811 282.01570728],[231.22768539 288.20635337],[224.69219732 256.71386043],[219.3348244  234.92566501],[214.13804343 215.40506976]
[244.10243439 362.11972808],[281.43644058 343.70979059],[284.86246873 320.95170215],[280.38178388 297.40472287],[270.06428161 278.98816248],[298.10377141 288.83524861],[320.20177941 249.10874241],[335.24468986 223.5505024 ],[346.06639291 205.44203768],[270.88904475 282.46508684],[272.71298218 250.89276342],[271.21754886 268.80442842],[270.54707774 286.59568286],[242.48437054 281.75684637],[246.43080916 251.64957012],[246.64656976 268.08780942],[247.85148999 285.22968058],[217.7823729  283.71287854],[213.17196229 249.67446786],[208.78348392 226.64033645],[205.2110277  205.89960994]
[232.02641939 365.77900024],[269.64259533 342.33926954],[274.22130085 315.4434439 ],[269.18241528 291.08127102],[259.25128986 270.26446124],[281.38522268 290.02831397],[302.77580207 250.83650843],[319.36943602 225.97783379],[333.43994509 208.49614662],[255.63987039 286.37378335],[258.72429128 257.3158049 ],[258.48278416 273.15304754],[258.79294913 289.13700804],[228.13721491 288.20120248],[235.86427439 256.22976913],[239.43957969 270.69559145],[242.3997751  285.63523955],[205.19459305 293.41091123],[200.83704    259.79481719],[193.84855517 236.59873828],[186.06170078 215.0729352 ]
[218.78014918 366.0830261 ],[258.703656   346.64833413],[264.03530725 320.7308242 ],[261.7812505  297.23322392],[252.55230014 273.49015334],[271.48137557 294.08335337],[291.72896901 250.739979  ],[307.79486874 222.95546452],[318.76572435 205.56540409],[245.13586432 290.63346653],[244.71744461 256.77434969],[246.72471682 271.01493099],[246.9318876  290.14016232],[218.82789717 290.30091439],[226.01641469 254.33861315],[229.47577592 262.58243901],[231.06185816 274.8429725 ],[195.50930984 293.30302013],[192.21190597 256.01648395],[186.2308905  231.65875842],[178.72947528 210.03924516]
[210.22443217 363.69156074],[248.18334015 347.06770995],[256.04667672 319.47518267],[251.60648084 296.99884758],[239.74019758 275.23493606],[267.17042317 286.68239788],[287.91731538 247.50644697],[306.14278173 223.94110539],[318.98818702 207.94122321],[241.3098975  280.98646627],[239.41740495 257.11018617],[239.83945413 277.69238885],[239.52849575 298.28107268],[214.68495527 280.56499898],[218.79206001 253.78685556],[220.03213815 268.90456078],[220.7791612  285.24323121],[190.84532909 284.52641659],[188.06437538 249.53350253],[185.2816848  227.59328434],[179.42217542 208.16944848]
[203.81416766 363.37561956],[240.65359296 350.20190215],[246.47270704 324.29589312],[242.00890459 299.68970612],[225.48326426 279.30099878],[262.39220364 287.77475087],[289.05551907 247.8881449 ],[310.10626468 225.81457311],[325.10066447 211.67646736],[237.44024042 279.37846049],[235.7566815  258.13575563],[234.74179218 277.66617602],[233.59584547 296.74820376],[210.07551381 278.51878491],[214.43422123 252.26963863],[213.84404501 266.29247881],[214.04169128 282.3155976 ],[186.42283469 282.77049577],[186.55243614 246.6529389 ],[185.20106636 224.58504599],[180.94212993 204.57924447]
[205.97712482 359.24537138],[241.03349102 342.91744042],[250.07194972 322.14685522],[248.69241206 297.6210321 ],[241.5984882  270.87226244],[265.71124309 287.03797634],[290.47790769 245.59618414],[309.29542223 217.79017063],[321.62996239 199.78701038],[241.1965476  279.40056185],[237.86388675 253.02880684],[234.51001591 275.55437061],[232.6825295  295.66495828],[215.42216852 274.9506399 ],[221.29302212 241.77433732],[219.80653699 250.22340366],[219.30969617 258.93711005],[192.32309499 274.63294167],[194.70853343 237.15769292],[192.72796728 213.74214346],[189.49281651 190.1146015 ]
