[257.50275972 381.12071998],[292.46227235 376.13647893],[300.76675849 359.56449712],[279.26364208 344.91790678],[248.57660938 333.19427639],[307.08284393 309.59282475],[322.87650181 280.63404542],[337.39724156 259.03974494],[349.17088355 235.75951303],[279.65423911 305.29901961],[284.06288971 265.57895797],[286.15760819 236.27693526],[287.63316843 213.11030198],[250.70201127 308.02095482],[251.9280741 282.4235745],[251.20242974 265.27118101],[251.62787207 248.09900361],[227.1386472  324.09821753],[234.26507411 307.24176891],[240.17485556 319.16114402],[240.95709557 331.66704619]
[260.39666072 382.98276152],[295.98467325 376.07930704],[304.52766416 358.36800602],[281.70286356 342.78875029],[249.90221735 331.25995437],[307.53438344 308.312954  ],[322.46248291 279.05228064],[335.8217251  257.60770909],[347.33026982 235.14728931],[281.00149402 302.37463979],[288.02915913 265.11384281],[292.83200901 237.11685693],[296.65192431 215.05557015],[251.80848547 305.12722076],[252.84830355 276.79133193],[252.34817848 252.25909721],[253.10178516 230.10473499],[228.03954068 321.79691202],[235.96857066 302.63833686],[241.17517049 313.13151833],[242.30425368 323.90589299]
[261.8910165 384.6706284],[300.80770538 377.55871659],[309.47165475 356.69656057],[283.59409948 339.32985739],[248.25280291 325.14097655],[310.67060692 307.53783191],[324.52353248 278.81718765],[336.68744261 256.01115909],[347.63866156 231.60490131],[282.46193497 302.34808816],[288.42959609 263.70921167],[292.72324586 235.47261472],[297.21010051 210.89281709],[252.30604345 306.46824806],[254.0023137  276.11474913],[255.1693095  252.27419707],[257.46682378 229.34354919],[227.66249678 324.44024489],[238.53722672 306.37409669],[247.7337444  322.98593673],[252.17483094 338.89006713]
[259.24129424 386.03731713],[298.17480747 376.95462376],[309.02142397 355.92305414],[284.84881056 336.46809716],[251.54668362 321.95982619],[311.00345372 307.26271654],[325.7829637  278.25335976],[338.79312002 254.2304113 ],[350.95370911 231.10992615],[283.33819622 301.46471741],[289.52943892 264.78468353],[293.89436036 235.86239587],[299.02878461 211.45817764],[253.48171178 305.03828611],[254.33317357 275.07894474],[256.01754123 250.67028757],[259.77983596 228.44945101],[228.42149204 322.23578111],[237.62731942 302.72290009],[246.78831647 315.8027935 ],[253.25098191 328.70262494]
[258.37163387 389.1776497 ],[292.73405799 381.02513116],[306.32572803 362.73525303],[284.14261069 349.76382509],[251.67223195 341.58720229],[309.07384773 311.25022168],[324.77454555 282.35282718],[339.45976576 258.05129332],[352.2328094 234.3438176],[283.29788419 305.0465107 ],[288.56733315 268.12870135],[293.83727153 237.92030007],[298.88633291 212.60820474],[253.44972358 308.05803966],[254.38294263 275.75656175],[256.78312514 251.36552842],[261.31650544 230.04755827],[228.56980064 325.48140474],[237.97405828 303.7794967 ],[245.7530334  315.68102493],[251.18213552 328.63925838]
[266.49570561 392.07238363],[299.92306398 388.45702643],[315.06654278 372.08189668],[290.13207505 358.529118  ],[256.84388119 349.02344074],[315.05838337 312.61730647],[328.36736944 282.00055375],[343.69836768 259.07438499],[357.01513191 234.92874787],[289.37600104 307.01837929],[294.15791452 267.48633552],[299.67730864 238.4019648 ],[303.10252106 212.43114688],[259.53049957 310.18267748],[261.12199529 277.25948263],[265.12312405 253.80461235],[266.53373793 232.03400915],[234.13164691 327.55390362],[243.16290647 307.14878766],[250.30605766 321.01717893],[252.32378683 334.46011653]
[268.17180436 379.43200787],[304.17063795 374.58394419],[315.29315373 356.07848201],[294.17395432 341.36641635],[263.26691164 329.43209441],[316.10467605 306.61344246],[330.60573917 274.28407229],[344.56739806 252.04305208],[355.66595213 229.73346225],[288.91563703 301.85833346],[288.53890481 263.69089087],[290.23348769 233.72991643],[290.94981077 209.0221366 ],[259.95233148 304.22934385],[263.65688571 281.35592116],[268.75968033 274.88604003],[270.75364246 266.73070052],[236.3695703  318.52635945],[247.10123523 302.43074494],[254.41187484 318.3002284 ],[256.69394448 335.06057694]
[270.56130877 379.04687951],[306.4541703  372.95136846],[317.32982335 357.29550986],[294.70309157 343.52049152],[265.01533628 332.47186508],[318.40503493 302.77846841],[332.08219487 270.64755969],[345.46463465 245.58733559],[357.17611686 220.76643812],[293.15422672 298.674107  ],[296.13263975 257.97895401],[299.37427203 229.00249063],[301.32418189 202.30508076],[264.80290114 301.13283823],[265.69073092 266.78959403],[267.91489652 244.10621353],[269.18149985 222.88534227],[239.83174341 316.77812373],[248.57584251 295.88379588],[254.58582934 307.2124126 ],[256.69571162 318.2425731 ]
[265.95552075 373.77375519],[308.50028414 362.36242197],[320.19980615 340.79486637],[296.0581606  322.60798708],[263.89083435 314.77326807],[315.87669835 294.83577289],[330.07639932 264.74800246],[343.98357623 240.42944015],[357.36345843 216.24326982],[289.99512789 290.98679308],[289.98303018 250.55792718],[292.88826103 221.78240001],[295.68755684 195.66640418],[261.02919779 295.35343141],[258.47322995 260.62926543],[263.17819419 238.72313949],[266.47203836 219.55290196],[236.03214078 313.29887845],[242.59857937 295.62565531],[252.23232104 310.64660759],[257.25756239 323.73141885]
[264.8439053  375.56462958],[303.48437274 365.52027021],[314.5994714  344.05041571],[292.31115016 325.9008399 ],[264.77457491 311.76083361],[314.38841057 294.4894998 ],[331.60705419 262.49619768],[345.57963805 237.67977812],[358.44079984 214.0939892 ],[288.84038834 289.61135328],[293.79629601 246.35428106],[296.55370723 218.91914683],[298.04147286 193.92065104],[260.88642841 293.46762499],[258.82963991 258.44078858],[261.064368   235.63349098],[260.57408922 214.14715523],[236.89532102 307.95036888],[244.50448334 286.95075768],[253.56119536 304.90398189],[256.47151363 323.22471768]
[261.35549385 371.63356164],[301.34810897 364.9509046 ],[312.41965768 343.97822443],[287.99670922 324.36011387],[256.87342988 312.09429153],[315.21724265 290.60180475],[331.48935185 260.14834569],[344.09927202 235.88255325],[356.19210799 212.1770624 ],[289.49157275 283.9275199 ],[295.07028383 243.45460367],[297.6828255  216.03575003],[299.35735704 191.34683627],[260.25243001 287.30108753],[260.62053475 255.50021667],[262.43106443 233.90152003],[262.36025756 212.71776112],[235.26817548 303.12415733],[246.47873307 285.36514409],[254.48257293 303.60479823],[255.97914893 321.5755356 ]
