[271.1127778  317.65986382],[290.12181144 288.21283203],[282.74542179 256.43498788],[272.04723903 209.77078221],[262.85169067 158.39992662],[245.3732731  248.49248929],[288.85870586 260.45691219],[298.23313353 262.19719959],[292.10559788 256.13540626],[231.87383245 278.62192375],[311.4986075  292.21310818],[321.02712946 294.64571269],[317.45535589 300.75170474],[228.22617082 313.47584788],[300.59707205 329.46640667],[306.21979829 321.24884229],[300.41907343 320.70263843],[232.05515711 351.55596859],[282.87152838 357.42465003],[289.58445795 351.42858192],[283.93419078 355.09371952]
[276.40591078 328.42390921],[291.92116549 289.38881061],[287.36935416 246.37351473],[279.60408208 199.85202656],[279.33554241 149.37386823],[250.82344612 251.26306274],[287.87209033 257.21777612],[292.6805621  268.96369763],[286.92919831 271.46122074],[242.90879422 285.21707993],[306.64439671 295.773047  ],[311.3288889  306.00969638],[309.36372607 306.44944805],[240.31945772 322.17885044],[304.57533309 334.37689978],[306.25986576 339.99112941],[299.52094825 339.18699034],[240.02474426 354.74726696],[288.72842619 361.36151901],[290.02646944 364.55115794],[279.57509124 363.80763364]
[308.25413448 319.28899846],[297.95915089 282.25248644],[284.87015016 235.10647394],[278.71494382 196.51775393],[281.67495499 167.85314007],[296.57698419 257.31762293],[277.87679252 247.83248491],[262.37101474 262.98159166],[247.56926225 273.91008467],[301.26808672 292.28558075],[271.83904443 289.00561751],[257.99106886 301.48777419],[254.00912204 310.10357912],[301.41684362 327.36187017],[268.68520626 321.69710119],[259.30253277 330.41595921],[260.46604451 338.29150331],[296.30134776 351.67882313],[266.36893687 352.46546864],[257.57309386 354.06785849],[257.19195681 356.41105263]
[270.51912982 331.83071707],[287.54421363 290.19877891],[279.2275921  247.49906949],[270.86719912 198.4958248 ],[273.73307485 149.70228605],[249.81951145 252.52786855],[285.13211418 243.59177805],[289.11405272 259.82073267],[280.75030698 272.49178483],[244.79780565 284.69282783],[297.95856881 288.11341543],[298.10308611 303.16710206],[292.09558689 311.91689801],[242.71435342 320.73591576],[294.46918988 324.66271422],[294.513251  334.8975759],[288.79026932 339.90528682],[241.07968141 351.11409612],[282.21810791 356.65178269],[285.53476061 363.37773016],[279.01698776 367.12173277]
[258.25886839 351.2654049 ],[276.95021186 290.57706644],[273.41530054 238.95166311],[265.52987643 188.56659643],[266.78105745 143.09911086],[237.65782503 258.84447359],[272.67159867 241.88317486],[284.24799555 264.89566358],[277.79779067 285.23297279],[237.05755089 297.55238281],[276.91904269 281.34454739],[285.76919594 298.96253197],[283.52046706 311.82395455],[239.50570451 335.93712072],[274.60147566 326.07316901],[283.99534236 340.02749022],[283.77265241 347.61161567],[241.75963344 368.00123916],[268.47848963 366.46516791],[275.63147606 371.71008748],[274.59383395 374.8278702 ]
[256.07160109 329.44401853],[277.82822134 289.55614198],[269.11443089 257.86699124],[250.82720968 215.17914882],[232.6862155  169.88658229],[220.8462461  244.53852376],[263.8388399  244.50720908],[277.83045023 248.05664855],[275.40841278 243.88744807],[208.24400889 274.85693901],[282.52835547 277.2434228 ],[302.53742126 287.93038374],[302.96751037 299.97561866],[208.20045169 311.15632874],[274.96811487 317.75917426],[294.41701072 315.83077473],[293.95640409 320.89838673],[214.59477451 350.79788712],[258.92556969 347.84357449],[273.34188455 344.95470286],[274.27502804 351.59830003]
[256.57967813 324.03884083],[275.72843289 283.78114576],[263.4106683  246.43396491],[247.12811869 199.44533398],[230.01414971 150.55659969],[219.13999115 244.62491083],[277.17933938 253.49756484],[289.54760665 263.99056673],[278.85496862 266.6655717 ],[206.93599581 277.31945645],[292.44991146 285.9074083 ],[301.81446487 294.31808304],[290.14384514 301.06533897],[205.55895873 312.72024863],[280.47586664 324.87780284],[281.72960072 323.69147577],[266.1812253  324.49267681],[209.20764876 348.3478075 ],[262.09320678 350.28044192],[264.22455873 349.05957291],[251.68264673 354.06212673]
[247.13647399 322.31201739],[266.22348594 290.0088384 ],[262.27320849 251.66817206],[250.76216388 201.15782424],[234.65822607 161.14198381],[211.46898951 242.63787303],[244.77847076 242.62989143],[258.35935794 238.41068785],[254.66648934 229.33097872],[195.33587997 272.18543481],[277.2221307  278.22647433],[296.08300818 283.20016776],[289.27827445 291.95488239],[193.51908466 308.5989203 ],[273.22869464 324.91212065],[287.97419354 319.1580314 ],[282.87060597 321.45396834],[200.24766485 348.60006142],[254.38131555 351.35304322],[265.42574459 341.60430413],[260.95337157 342.9129453 ]
[253.97903071 332.97592593],[273.9635769  296.26105568],[264.57297264 254.77658419],[252.18528773 207.77429656],[243.11571282 158.80994364],[220.95602634 253.91563141],[274.13236853 261.14963022],[284.42941064 268.76659023],[276.6909197  272.41663626],[209.17437664 287.19623018],[291.32439722 293.90280942],[301.10208841 299.55726855],[294.80042251 303.99492366],[207.66262421 321.89840997],[281.9457308  333.75450735],[289.42523482 333.28303578],[281.67793597 332.78227689],[208.64324799 358.67930255],[262.8139676  364.57272638],[271.64371019 364.62105897],[266.33276788 368.58348335]
[245.15406977 345.24806686],[278.69291416 298.75103022],[269.16682529 263.01074801],[251.6425927  221.04850878],[242.99396559 176.18928831],[215.06240022 248.64581417],[240.43837458 240.44127741],[250.59220807 236.37395812],[248.74213372 233.15329489],[196.1756951  278.08065298],[267.04768801 275.86518268],[291.56993563 290.13219977],[295.74813857 313.35564096],[192.74264993 312.16116542],[256.95000441 314.57621858],[280.72014334 315.65403903],[285.98214494 329.07822711],[195.83011577 346.4329652 ],[236.22431001 345.2676265 ],[253.11303611 344.96417228],[256.75730117 357.99032942]
[234.75792497 357.26448954],[265.02591017 295.45212805],[273.9206628  260.57740843],[262.42104371 223.15930659],[260.04351202 177.18843788],[221.927529   254.99252865],[256.84685335 242.55847   ],[264.67172535 240.59161016],[261.41005746 239.89566419],[206.95467293 286.81972518],[293.59004637 284.32842957],[312.63400471 300.11922073],[306.3708121  310.38572485],[204.97495484 321.20667365],[289.28338585 329.00945982],[305.38033744 333.01507026],[295.18135745 332.15261621],[207.90797119 357.51561602],[267.0607693  363.51489329],[285.90922102 365.45518223],[283.13945877 370.32731918]
