[220.80988275 411.44018879],[254.58638012 408.68501057],[267.78552521 374.4485495 ],[247.00968324 345.96475169],[220.8547773  319.54881042],[276.60977703 310.34694104],[294.40368798 269.53752178],[307.34001912 242.2773787 ],[319.55957939 219.79450671],[244.90172169 307.20110824],[237.82636721 250.81257823],[237.43522325 209.69789924],[238.86196098 173.13125562],[216.20764004 318.10563683],[211.36544007 298.6967972 ],[219.58550637 338.32766541],[224.39781427 358.03150275],[189.63779681 330.89813922],[190.05459848 323.94000747],[199.73530983 352.4931592 ],[208.56991923 371.86641941]
[220.61626376 410.12811687],[263.76313182 401.63737704],[272.15451736 366.47933433],[248.28539749 341.80012232],[220.11025736 320.84696993],[273.00338672 306.35472418],[290.4912372  266.52183891],[308.77203544 240.67397848],[324.74289521 219.67202703],[240.68921608 306.93466712],[235.45513415 250.35951947],[234.49748911 209.7622232 ],[232.19761825 172.29010037],[211.70421486 317.8131658 ],[207.4521521  303.75538465],[221.01309794 336.829162  ],[230.08497114 350.63832573],[186.57783701 329.79581416],[187.61471339 325.44394507],[202.39474477 351.44988664],[215.8525841  369.00916893]
[219.99146583 407.9248834 ],[259.91307435 400.81049723],[271.48182234 364.47862568],[250.48037516 335.51899626],[221.97730436 310.99866886],[276.1579806  301.91184108],[293.09415988 261.63373058],[306.29805661 235.52480916],[318.42429848 216.09848099],[242.88420473 301.00477369],[236.3236637  245.47625557],[234.6249302  205.47192565],[233.00651044 170.49332789],[213.50663074 313.75184194],[211.71378444 295.69957103],[222.66696624 331.88798133],[227.56248869 349.04783062],[186.69047718 329.15878693],[188.31619862 320.70859917],[200.27042097 347.8774111 ],[210.28815781 366.72331807]
[220.34136817 407.0580992 ],[257.52171071 402.45702834],[269.32694737 368.356898  ],[249.93532258 338.90707312],[221.2868018  311.34881518],[278.0469492  302.12735825],[295.53896213 263.25409683],[309.7256339  236.80091996],[322.46574503 215.92983001],[245.20162353 300.67769626],[238.70409964 245.40162322],[236.17176602 204.99801196],[233.25542736 169.64298519],[216.14657783 312.80456802],[211.17032528 297.69967364],[219.73227566 333.64756714],[223.75365003 349.64885067],[189.52935659 327.83303551],[187.60987617 319.95538401],[197.64784171 347.64220927],[207.03058364 366.36507828]
[221.63559512 406.64584494],[263.47189068 399.12394096],[272.99662032 366.88223992],[247.91841531 344.00327672],[219.57480998 323.55456556],[277.10229788 305.3224558 ],[293.31128068 265.2706413 ],[310.35649158 239.77506018],[325.51113794 218.86710606],[243.7842067  304.71990762],[237.44328816 247.93934461],[236.53153332 209.0037533 ],[234.91790999 172.80635781],[215.06768769 315.41379552],[209.30009201 302.00512939],[222.9664934  335.45558872],[232.32887602 348.59115208],[189.56808591 327.67283365],[190.46195663 323.4774555 ],[204.85877009 349.62373519],[217.65216675 366.47923073]
[224.68711397 409.22254194],[262.42142642 403.16213883],[270.44087637 366.52927611],[247.12699803 339.99947457],[216.936324   319.16345932],[277.42292452 306.90462885],[294.97749127 268.2707955 ],[310.56126513 243.31278284],[324.1141801  222.97453742],[246.47905857 305.34856144],[239.31967863 250.04036807],[238.3453921  208.53862976],[235.40757484 172.75847096],[218.3118836  315.92618213],[211.69598541 299.65762003],[222.2409138  333.70625446],[228.03116712 350.51930602],[192.64521766 328.95953766],[190.20106421 321.98578066],[200.98358925 348.60197191],[210.92127069 368.36918986]
[221.19802928 411.6344395 ],[256.6129737  406.05283705],[269.49368612 368.52886529],[247.23117824 340.19976808],[218.81957505 317.87885764],[273.70468589 306.7261705 ],[290.65728648 268.72330111],[303.72900551 243.97222909],[316.55085555 222.58343141],[239.80189932 301.77147068],[235.11772798 250.1582216 ],[237.13443716 211.92801545],[238.08587824 178.37782306],[209.8447995  312.16961133],[208.15210049 298.49967875],[218.82353399 339.44856829],[222.73244249 358.23322031],[183.84472911 326.79366329],[189.12932242 323.98937395],[199.60798717 353.81400195],[206.77529444 372.39909368]
[221.88901887 408.2235953 ],[257.72898459 404.99700818],[271.81964962 367.60206098],[250.67967074 340.17735284],[222.88008904 318.79232217],[273.30800081 306.60872026],[291.1848753 266.6746253],[304.81677589 239.63137182],[318.16209624 215.59602397],[241.53782079 303.2444164 ],[236.08387938 251.81618546],[238.51965669 212.42062394],[241.02675214 178.12276127],[213.80530496 315.18326141],[213.42371646 298.19745794],[224.76419609 335.50104956],[228.93780487 353.90785052],[189.48484614 331.39369598],[195.38674826 325.02999109],[204.95721426 353.30086496],[210.24699508 373.52544897]
[225.32877512 404.10611055],[267.60414956 397.05269514],[277.65015632 360.19658739],[254.60296275 332.19741452],[223.0037981  308.24262975],[278.41283651 301.13721249],[294.55181149 261.85340051],[308.38223039 236.15947403],[319.84204633 215.30310429],[245.77448409 301.36355787],[238.1976168  246.92152364],[235.8617774  206.01302491],[231.8082969 169.0857627],[217.53191423 313.23560281],[213.53569187 300.78805993],[223.72278804 334.60361144],[228.08860374 348.02230584],[191.95994537 326.64353626],[192.19406613 322.56485713],[203.23839732 350.1620461 ],[212.08050178 368.20212863]
[226.63143973 425.92402096],[267.81861668 405.67818615],[277.72929544 357.78689506],[254.16729366 324.610538  ],[233.04674246 301.54753914],[285.2934119  305.95489942],[302.63809478 271.02942154],[316.59638623 239.32331615],[332.90227893 209.72512452],[253.1452661  300.11047355],[245.23917822 243.09391714],[242.78493221 199.22585432],[239.65459853 159.55479507],[224.07563655 311.85094632],[222.48839236 285.7998104 ],[231.78413437 320.23805378],[233.67188817 339.88650267],[196.06927777 324.5406203 ],[200.09925592 308.4964272 ],[208.84488927 336.07525671],[212.09695461 360.55241247]
[241.98915417 425.54846409],[284.13211477 411.22492993],[293.53008585 361.8695238 ],[266.72795665 327.53799413],[238.75108327 303.87127117],[299.1319215  306.03477517],[316.4132056  263.90401319],[331.1060905  230.80599928],[346.51868066 201.78584386],[266.33223948 302.95282431],[260.46102632 240.84900257],[256.64506597 197.4373231 ],[254.91198451 155.738051  ],[235.07735143 314.80962483],[228.38306907 287.33484308],[239.72253553 324.53454345],[246.91005565 344.33076296],[208.6268995  328.65309376],[208.49181123 311.28653311],[219.71242021 339.08685774],[228.19664872 359.65123649]
[246.98671114 398.45659003],[287.23317323 389.09932153],[299.40891404 353.82202314],[269.49319754 327.47107902],[235.81347215 309.59264919],[304.47637933 304.07460997],[322.89392549 267.58247476],[339.51331087 243.79370086],[354.70869655 221.12546737],[274.86127447 300.23137558],[267.45906239 246.88944919],[265.2523825  210.67223526],[265.71147627 179.01083047],[245.31399329 308.38880939],[238.15835526 294.62256496],[250.53551123 326.89541345],[261.30906938 340.89469565],[219.56645115 320.27733819],[219.02956004 313.2401655 ],[230.73054122 340.50976707],[241.94052136 359.46938943]
